
2018-01-09 10:15:40 [ Thread-20:3 ] - [ INFO ] 20个无花果
2018-01-09 10:15:40 [ 低:4 ] - [ INFO ] 0个无花果
2018-01-09 10:15:45 [ Thread-4:0 ] - [ INFO ] 4个无花果
2018-01-09 10:15:45 [ 高:0 ] - [ INFO ] 21个无花果
2018-01-09 10:15:45 [ Thread-1:0 ] - [ INFO ] 1个无花果
2018-01-09 10:15:45 [ Thread-5:0 ] - [ INFO ] 5个无花果
2018-01-09 10:15:45 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 10:15:45 [ Thread-3:0 ] - [ INFO ] 3个无花果
2018-01-09 10:15:45 [ 高:1 ] - [ INFO ] 22个无花果
2018-01-09 10:15:45 [ Thread-6:1 ] - [ INFO ] 6个无花果
2018-01-09 10:15:45 [ Thread-7:1 ] - [ INFO ] 7个无花果
2018-01-09 10:15:45 [ 高:1 ] - [ INFO ] 24个无花果
2018-01-09 10:15:45 [ Thread-8:1 ] - [ INFO ] 8个无花果
2018-01-09 10:15:45 [ Thread-11:2 ] - [ INFO ] 11个无花果
2018-01-09 10:15:45 [ 高:2 ] - [ INFO ] 26个无花果
2018-01-09 10:15:45 [ 高:2 ] - [ INFO ] 28个无花果
2018-01-09 10:15:45 [ 高:2 ] - [ INFO ] 27个无花果
2018-01-09 10:15:45 [ 高:1 ] - [ INFO ] 25个无花果
2018-01-09 10:15:45 [ Thread-9:1 ] - [ INFO ] 9个无花果
2018-01-09 10:15:45 [ 高:1 ] - [ INFO ] 23个无花果
2018-01-09 10:15:45 [ Thread-10:1 ] - [ INFO ] 10个无花果
2018-01-09 10:15:45 [ Thread-16:3 ] - [ INFO ] 16个无花果
2018-01-09 10:15:45 [ Thread-18:3 ] - [ INFO ] 18个无花果
2018-01-09 10:15:45 [ Thread-15:3 ] - [ INFO ] 15个无花果
2018-01-09 10:15:45 [ Thread-17:2 ] - [ INFO ] 17个无花果
2018-01-09 10:15:45 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:15:45 [ Thread-13:2 ] - [ INFO ] 13个无花果
2018-01-09 10:15:45 [ Thread-12:2 ] - [ INFO ] 12个无花果
2018-01-09 10:15:45 [ 高:2 ] - [ INFO ] 29个无花果
2018-01-09 10:15:45 [ 低:3 ] - [ INFO ] 0个无花果
2018-01-09 10:15:45 [ Thread-19:3 ] - [ INFO ] 19个无花果
2018-01-09 10:15:45 [ Thread-20:3 ] - [ INFO ] 20个无花果
2018-01-09 10:16:03 [ Thread-3:0 ] - [ INFO ] 3个无花果
2018-01-09 10:16:03 [ 高:1 ] - [ INFO ] 24个无花果
2018-01-09 10:16:03 [ 高:1 ] - [ INFO ] 23个无花果
2018-01-09 10:16:03 [ 高:0 ] - [ INFO ] 22个无花果
2018-01-09 10:16:03 [ 高:0 ] - [ INFO ] 21个无花果
2018-01-09 10:16:03 [ Thread-4:0 ] - [ INFO ] 4个无花果
2018-01-09 10:16:03 [ Thread-0:0 ] - [ INFO ] 0个无花果
2018-01-09 10:16:03 [ Thread-6:2 ] - [ INFO ] 6个无花果
2018-01-09 10:16:03 [ Thread-7:2 ] - [ INFO ] 7个无花果
2018-01-09 10:16:03 [ 高:2 ] - [ INFO ] 29个无花果
2018-01-09 10:16:03 [ Thread-8:2 ] - [ INFO ] 8个无花果
2018-01-09 10:16:03 [ Thread-10:2 ] - [ INFO ] 10个无花果
2018-01-09 10:16:03 [ Thread-12:2 ] - [ INFO ] 12个无花果
2018-01-09 10:16:03 [ Thread-15:3 ] - [ INFO ] 15个无花果
2018-01-09 10:16:03 [ Thread-18:3 ] - [ INFO ] 18个无花果
2018-01-09 10:16:03 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 10:16:03 [ Thread-20:3 ] - [ INFO ] 20个无花果
2018-01-09 10:16:03 [ Thread-17:3 ] - [ INFO ] 17个无花果
2018-01-09 10:16:03 [ Thread-16:3 ] - [ INFO ] 16个无花果
2018-01-09 10:16:03 [ Thread-13:2 ] - [ INFO ] 13个无花果
2018-01-09 10:16:03 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:16:03 [ Thread-9:2 ] - [ INFO ] 9个无花果
2018-01-09 10:16:03 [ Thread-11:2 ] - [ INFO ] 11个无花果
2018-01-09 10:16:03 [ 高:2 ] - [ INFO ] 28个无花果
2018-01-09 10:16:03 [ 高:2 ] - [ INFO ] 27个无花果
2018-01-09 10:16:03 [ 高:2 ] - [ INFO ] 26个无花果
2018-01-09 10:16:03 [ 高:1 ] - [ INFO ] 25个无花果
